name,date,notes,year
Shweet Persuasion, Jul 15," Wyoming R – “fractured fetlock” (nine years old, 65th race)",2023
Luckyginger, Jul 16," Wyoming R – “fractured both front [limbs]” (three years old, first race)",2023
Winter Son, Jul 20," Saratoga T – “sustained injury while breezing, euthanized”",2023
Morestride, Jul 20," Thistledown R – “suffered catastrophic injury, fell, euthanized”",2023
Mucha Woman, Jul 21, Pleasanton S,2023
Dreaming of Toga, Jul 22," Monmouth R – “injured, vanned off, euthanized”",2023
Vasco, Jul 23, Pleasanton T,2023
Blame It On Mary, Jul 23," Saratoga R – “injured, vanned off, euthanized”",2023
Big Brad Soldier, Jul 25," Finger Lakes R – “went down, fractured cannon, euthanized on track”",2023
Caffine Ediction with Jog Bike, Jul 25," Vernon T – “injured, [dead]”",2023
Brick Town, Jul 27, Delaware R – “broke down inside 1/16 pole – euthanized in barn area”,2023
Nevisian Sunrise, Jul 27, Del Mar T – “collided with stationary object”,2023
Ghostem, Jul 29, Del Mar T – “non-operable injury”,2023
Episode Five, Jul 29, Del Mar R (euth Aug 5) – “went wrong”,2023
Holy Moly Abraham, Jul 30," Ellis R – “catastrophic injury to RF, euthanized”",2023
Nosbor, Jul 30, North Dakota R – “broke down past wire”,2023
Lawful, Aug 2," Saratoga T – “suffered injury, euthanized”",2023
Danehill Song, Aug 3," Santa Rosa R – “took a bad step, vanned off, euthanized”",2023
Sopran Basilea, Aug 3," Saratoga R – “suffered injury on gallop-out, euthanized on course”",2023
Mikethedealer, Aug 4, Del Mar S,2023
Loyal to a Fault, Aug 5, San Luis Rey T,2023
Maple Leaf Mel, Aug 5," Saratoga R – “suffered catastrophic injury, fell, euthanized on track”",2023
Closed Caption, Aug 6," Saratoga T – “pulled up, vanned off, euthanized”",2023
Ever Summer, Aug 6, Saratoga R – “fell…euthanized on course”,2023
Racing Queen, Aug 7," Finger Lakes S – “colic, euthanized” (was raced Jul 31)",2023
Warrior Nation, Aug 7," Finger Lakes R – “horse broke down, euthanized on the track”",2023
It's Your Call, Aug 8," Thistledown R – “suffered catastrophic injury, euthanized”",2023
Mooneymooneymooney, Aug 11," San Luis Rey S – “pleuropneumonia, septic” (three years old)",2023
Flying Cowgirl 321, Aug 12, Los Alamitos R (euth Aug 14),2023
Seattle Bold, Aug 13, Emerald R – “appeared to go wrong”,2023
Wisecraken, Aug 16," Saratoga R – “suffered injury, vanned off, euthanized”",2023
Art Collector, Aug 17," Saratoga S – “laminitis, all four feet” (developed abscess after training Aug 5)",2023
Uragano, Aug 18," Belmont S – “developed laminitis Jul 27, euthanized Aug 18”",2023
Cave Rock, Aug 18, San Luis Rey S – “colic-hernia-surgery-laminitis” (began after training Jul 28),2023
Vagabond Prayer, Aug 19, Del Mar T – “suffered injury…euthanized”,2023
Going Going Gone, Aug 23," Finger Lakes R – “appeared in distress, vanned off, euthanized”",2023
Burning Bright, Aug 23," Saratoga R – “suffered fatal cardiac event, hit rail, fell”",2023
I'll Do It for You, Aug 24, Golden Gate S,2023
La Aguililla, Aug 25," Saratoga R – “injured, vanned off, euthanized”",2023
Sbd Corazon, Aug 26," Batavia R – “shattered pastern, not repairable, euthanized”",2023
Pastor T, Aug 26, Del Mar T – “sustained fatal injuries” (two years old),2023
Nobel, Aug 26, Saratoga R – “suffered catastrophic injury…euthanized on the course”,2023
New York Thunder, Aug 26," Saratoga R – “suffered catastrophic injury, fell, euthanized on track”",2023
Hoosier Shooter, Aug 26, Vernon S – “found dead” (scratched from race the day before),2023
Shutters, Aug 29," Saratoga S – “found down, died before vet could arrive” (trained five days prior)",2023
Daredevil Bull, Aug 30," Finger Lakes R – “broke down, humanely put to rest”",2023
Tout Ensemble, Aug 30, Mountaineer R – “euthanized on track after race”,2023
Nomo Ron, Aug 31," Charles Town R – “suffered fatal injury, had to be euthanized”",2023
Wayward Ghost, Sep 2, Belmont S – “found dead” (three years old; last race: 52 lengths back),2023
Who U Gonna Call, Sep 4, Mountaineer R – “injured…euthanized on track”,2023
Peace of Mind, Sep 5," Del Mar S – “musculoskeletal” (two years old, being prepped for debut)",2023
Thundering Eagle, Sep 10, Los Alamitos R – “musculoskeletal” (two years old),2023
Information, Sep 12, Los Alamitos T – “musculoskeletal”,2023
Sounds Spooky, Sep 14," Belmont T – “pulled up, apparent fracture, euthanized”",2023
Undertaker, Sep 16," Batavia R – “foul-gated, broke pastern, euthanized”",2023
Moon Frolic, Sep 17," Aqueduct R – “injured, vanned off, euthanized”",2023
Noisey Burglar, Sep 17, Los Alamitos S (four years old),2023
Gardees World, Sep 20, Golden Gate S,2023
Hip Hop Hooray, Sep 20, Parx R – “fell dead after finish” (three years old),2023
Trumpence, Sep 21, Delaware R – “euthanized on the track when he couldn’t get up”,2023
Perfect Senorita, Sep 24," Aqueduct R – “catastrophic injury, fell, euthanized on the course”",2023
Nobody Listens, Sep 24, Parx S – “trailer accident – severed an artery and bled out”,2023
Great Story, Sep 25," Golden Gate R – “pulled up, vanned off, euthanized”",2023
Weeping Willows, Sep 27, Golden Gate T (two years old),2023
Bowl of Cherries, Sep 28," Aqueduct R – “collapsed, pronounced dead” (five years old)",2023
Believe in Lov, Sep 30, Delaware R – “broke down…euthanized on the track”,2023
Navy Queen, Oct 1, Golden Gate T,2023
Queen Breezy, Oct 2, Grants Pass R – “broke down”,2023
Summer Nitro, Oct 3," Finger Lakes R – “in distress, severe tendon injury, euthanized on track”",2023
Takeover Kash, Oct 4, Delaware R – “sustained a critical injury…euthanized”,2023
Hangin At Haven, Oct 4," Golden Gate T (two years old, being prepped for debut)",2023
Phantoms Book, Oct 9, Grants Pass R – “broke down”,2023
Off the Clock, Oct 12," Keeneland R – “suffered catastrophic injury, euthanized”",2023
Big Update, Oct 12, Santa Anita S (three years old),2023
Bank On Belle, Oct 13, Belmont T – “sustained injury while breezing…euthanized”,2023
Gee Wiz, Oct 13, Delaware R – “took a few bad steps…euthanized”,2023
Border Star, Oct 14," Fairmount R – “sustained serious injury, humanely euthanized”",2023
Holding Au Pair, Oct 15, Aqueduct R (euth Oct 16) – “flipped over [after race]”,2023
Bellstreet Bridie, Oct 15, Santa Anita S (four years old),2023
Captain Maverick, Oct 15," Santa Anita T (two years old, being trained for first race)",2023
Moon Chariot, Oct 16, Finger Lakes R – “fractured P1 necessitating euthanasia”,2023
Club Cal, Oct 20, Los Alamitos S (was to be raced Oct 22),2023
Cloudy Night, Oct 21," Laurel R – “fell, sustained catastrophic injury, euthanized”",2023
Summery, Jan 1," Gulfstream R – “pulled up, vanned off, [euthanized]”",2022
Official Kisser, Jan 1," Northfield R – “fractured pastern, euthanized on track”",2022
Smokin Joe, Jan 1," Northfield R – “compound fracture MCIII, euthanized on track”",2022
One Fine Andi, Jan 1, Northfield R – “suspected fractured shoulder/vertebrae”,2022
Viking Zim, Jan 2, Belmont S – “laminitis”,2022
Kantstaros, Jan 2," Gulfstream R – “pulled up, vanned off, [euthanized]”",2022
Powerful Force, Jan 2," Keeneland T – “[multiple] open, comminuted fractures”",2022
Stormy D, Jan 2, Tampa Bay S – “colic” (last raced Dec 11),2022
Dunph, Jan 5," Belmont T – “fracture, lameness, euthanasia”",2022
Felons Only, Jan 5," Charles Town T – “compound fracture, MCIII”",2022
Hygh I. Q., Jan 5, Golden Gate S – “post-surgical sudden death” (three years old),2022
Yamboree Queen, Jan 5," Mahoning S – “found in stall with severe colic, died”",2022
Fan Fan, Jan 5, Tampa Bay R – “biaxial sesamoid fractures”,2022
Better Tomorrow, Jan 7, Golden Gate R (euth Jan 15) – “multiple fractures/ruptures”,2022
Cara's Daydreamer, Jan 8, Aqueduct R – “injured past the wire”,2022
Obsessed, Jan 8, Aqueduct R – “suffered an injury approaching the 3/4 pole”,2022
Big Fabuloso, Jan 8, Los Alamitos R – “significant spinal cord compression”,2022
My Little Dragon, Jan 8, Sunland R – “thoracic fracture”,2022
Shining Colors, Jan 9, Parx S – “shipped with severe case of laminitis”,2022
C Dub, Jan 10, Turf S – “pleuritis”,2022
Icomefromdowntown, Jan 11," Penn R – “went bad, vanned off, euthanized”",2022
Caliche, Jan 11, Sunland R – “fractured cannon”,2022
Russian Melody, Jan 12," Penn R – “pulled up bad, vanned off, euthanized”",2022
Pay Tavasco Rent, Jan 13, Turf S – “colic”,2022
Hi Fidelity, Jan 14," Cal Expo S – “collapsed, seizures, head trauma”",2022
Rakasa, Jan 14, Gulfstream R – “suffered catastrophic injury past wire”,2022
I'm Feeling Lucky, Jan 14," Mahoning T – “[multiple] fractures, vanned off, euthanized”",2022
Sky Writer, Jan 14," Mahoning R – “fractured sesamoids, dislocated ankle”",2022
Fanci Lindor, Jan 14, Sam Houston T – “trauma [from collision]”,2022
Raagheb, Jan 14," Turf R – “[multiple leg] fractures, multiple skull fractures”",2022
Glory March, Jan 15, Charles Town R – “fractured both LF sesamoids”,2022
Coalition Building, Jan 15, Gulfstream T – “racing-animal death”,2022
Mugaritz, Jan 16, Golden Gate R – “multiple fractures and ruptures”,2022
Macho Appeal, Jan 16," Oaklawn R – “pulled up on turn, euthanized on track”",2022
Wanna Be Regal, Jan 17," Parx S – “illness, died” (raced earlier that month)",2022
Troubleshooting, Jan 17, Sunland T – “fractured ankle”,2022
Tamarando's Mine, Jan 17, Turf R – “[multiple] fractures [both front limbs]”,2022
Adorable Brittany, Jan 17, Turf R – “[multiple] open fractures; [multiple] ruptures”,2022
Jj Jess an Meteorite, Jan 18, Louisiana R – “severe open fetlock disarticulation”,2022
Successful Cure, Jan 18," Parx T – “injured, euthanized”",2022
Bearpath, Jan 19," Mahoning R – “[multiple] fractures, euthanized on track”",2022
Wed O's Champ, Jan 19," Turf R – “dislocated fetlock, puncture wound”",2022
Winetastic, Jan 20," Aqueduct R – “suffered an injury, euthanized on the track”",2022
News Watch, Jan 20," Northfield R – “compounded fracture, vanned off, euthanized”",2022
Devils Dare, Jan 21, Belmont S – “found in stall unable to stand…euthanized”,2022
Aries, Jan 21, Turf S – “colic”,2022
Lily Malacara, Jan 21, Turf S – “colic”,2022
Beyound Dreams, Jan 22," Sam Houston R – “[multiple] open, compound fractures”",2022
Western Sandman, Jan 22," Sunland R – “[multiple] fractures, euthanized in ambulance”",2022
Brandistyled, Jan 22, Sunland R – “fractured ankle”,2022
Beat the Odds, Jan 22, Tampa Bay T – “[broke] both front cannons” (two years old),2022
Vow Me Now, Jan 23, Gulfstream T – “racing-animal death”,2022
Majestic Freedom, Jan 23, Oaklawn R (euth Feb 2) – “avascular bone necrosis”,2022
Athenian Warrior, Jan 23," Sunland S – “colic” (two years old, unraced)",2022
La Aitana, Jan 24," Laurel S – “pneumonia with large lung abscess, stopped eating”",2022
Hoboken Hustle, Jan 24," Mahoning R – “[multiple] fractures, euthanized on track”",2022
Derby Kisses, Jan 25, Belmont T – “suffered a complete P1 fracture”,2022
CycloneSpiritwind, Jan 25," Meadows S – “illness, euthanized”",2022
Silver Warrior, Jan 25," Sam Houston T – “[multiple] open, compound fractures”",2022
Secret Princess, Jan 26," Mahoning T – “open, displaced fracture; euthanized on track”",2022
Cause I'm Leavin, Jan 26, Turf T – “fractured sesamoid”,2022
Miss Bee Hiving, Jan 27, Charles Town R (euth Jan 31) – “multiple fractures”,2022
Church of Many, Jan 27, Charles Town R (euth Apr 22) – “multiple chips”,2022
Circus Ride, Jan 27," Turf R – “reared, hit head on gate: brain trauma”",2022
Bonnet, Jan 28, Laurel T – “collapsed – massive internal hemorrhage”,2022
Sara's Memories, Jan 28, Sunland R – “fractured carpus”,2022
Charging Nellie, Jan 29, Fair Grounds R – “sudden death” (two years old),2022
Umbra, Jan 29," Gulfstream R – “pulled up, vanned off, [euthanized]” (first race)",2022
Barqueen, Jan 30," Horseshoe S – “unknown, suspect injury from fall” (two years old)",2022
Warrior Worrier, Jan 30," Turfway T – “fracture, marked tearing of musculature”",2022
Meataball, Jan 30," Turfway T – “[multiple] fractures, ruptured ligament”",2022
Atrani, Jan 31, Charles Town T – “fractured fetlock”,2022
Deans Flash, Jan 31, Sunland T – “fractured sesamoid” (just one year old),2022
unidentified, Jan, Sam Houston T,2022
Minit Maus, Feb 1, Belmont T – “pulled up lame…euthanized”,2022
Princesalessandra, Feb 1, Keeneland T (euth Feb 11) – “multiple pelvic fractures”,2022
Bester, Feb 1," Parx T – “injured, euthanized”",2022
Posseineffecttoo, Feb 1," Parx R – “injured, euthanized”",2022
Dean's Flash, Feb 1, Sunland T – “fractured sesamoid”,2022
Green Tea Mochi, Feb 2," Oaklawn T – “pelvic fracture, euthanized”",2022
Petion Lass, Feb 3, Laurel R – “distal portion of limb hanging by small strand of skin”,2022
Dylans Wild Cat, Feb 3," Santa Anita T – “catastrophic fracture, [multiple] ruptures”",2022
Anguz Fire, Feb 4, Sunland R – “fractured fetlock”,2022
Jamerican, Feb 6, Laurel R – “catastrophic comminuted pelvic fractures”,2022
Just Indiscreet, Feb 9, Delta R – “acute fracture”,2022
Convert Dinario N, Feb 9, Saratoga Harness T – “possible cardiovascular collapse”,2022
Ms Michelle, Feb 9, Turf R – “broke both front legs”,2022
Sky's the Limit, Feb 10, Turf R – “shattered sesamoid”,2022
Destiny's Charge, Feb 11," Charles Town S – “neurologic, unable to get up”",2022
Bee Jealous, Feb 11, Charles Town R (euth Feb 12) – “slab fracture” (first ever race),2022
Swing Your Sword, Feb 11, Charles Town R (euth Feb 12) – “[multiple] fractures”,2022
Timeless Joke, Feb 11," Fair Grounds R – “compound fracture, disarticulation”",2022
Creative Plan, Feb 11, Turf T – “fractured fetlock”,2022
Windrush Karma, Feb 12, Charles Town R – “was pulled up with a fatal injury”,2022
Princess Lea, Feb 12, Fair Grounds R – “[multiple] fractures”,2022
Starship Mishka, Feb 12, Gulfstream T – “racing-animal death”,2022
